date,region,product,units,price,revenue,marketing_spend,churn_rate
2024-01-01,North America,Smartwatch,19,46.94,891.9,80.36,0.08
2024-01-01,North America,Camera,13,79.98,1039.79,287.73,0.126
2024-01-01,Europe,Headphones,10,140.13,1401.34,141.9,0.12
2024-01-01,Europe,Blender,5,129.18,645.91,110.92,0.125
2024-01-01,APAC,Smartwatch,5,24.07,120.33,218.92,0.104
2024-01-01,APAC,Camera,12,58.83,705.91,146.78,0.084
2024-01-01,APAC,Book,12,53.96,647.51,250.42,0.063
2024-01-01,APAC,Laptop,40,86.61,3464.52,158.57,0.064
2024-01-01,LATAM,Laptop,14,35.26,493.69,309.39,0.081
2024-01-01,LATAM,Book,55,97.26,5349.07,279.94,0.061
2024-01-02,North America,Smartwatch,8,107.46,859.7,384.41,0.112
2024-01-02,North America,Laptop,20,31.52,630.47,277.19,0.097
2024-01-02,Europe,Book,17,53.22,904.79,212.05,0.119
2024-01-02,Europe,Laptop,11,66.33,729.68,288.86,0.09
2024-01-02,Europe,Headphones,52,52.06,2707.05,107.93,0.08
2024-01-02,Europe,Blender,31,82.78,2566.29,353.84,0.085
2024-01-02,APAC,Headphones,54,132.65,7163.13,143.86,0.058
2024-01-02,APAC,Camera,54,132.59,7160.08,146.8,0.087
2024-01-02,APAC,Book,52,65.79,3421.12,344.57,0.124
2024-01-02,APAC,Blender,17,19.7,334.82,174.97,0.128
2024-01-02,LATAM,Smartwatch,17,34.98,594.65,187.2,0.143
2024-01-02,LATAM,Blender,43,85.8,3689.48,262.72,0.129
2024-01-02,LATAM,Headphones,21,36.04,756.84,334.31,0.1
2024-01-03,North America,Camera,46,119.51,5497.56,349.94,0.034
2024-01-03,North America,Headphones,43,87.08,3744.27,232.91,0.089
2024-01-03,North America,Smartwatch,6,33.67,202.04,356.85,0.139
2024-01-03,Europe,Camera,18,33.56,604.05,282.74,0.127
2024-01-03,Europe,Laptop,33,58.07,1916.47,296.77,0.086
2024-01-03,Europe,Smartwatch,56,83.98,4702.91,337.59,0.107
2024-01-03,Europe,Book,5,18.91,94.54,102.32,0.033
2024-01-03,APAC,Shoes,21,92.65,1945.62,379.23,0.149
2024-01-03,APAC,Book,10,87.2,872.03,75.1,0.071
2024-01-03,APAC,Headphones,47,74.2,3487.61,320.0,0.134
2024-01-03,LATAM,Camera,8,107.1,856.83,124.85,0.069
2024-01-03,LATAM,Blender,32,60.51,1936.3,196.33,0.052
2024-01-03,LATAM,Book,35,84.9,2971.46,160.97,0.118
2024-01-03,LATAM,Headphones,31,36.95,1145.49,174.08,0.075
2024-01-04,North America,Camera,25,73.15,1828.78,146.71,0.09
2024-01-04,North America,Book,27,63.55,1715.89,277.54,0.101
2024-01-04,North America,Shoes,11,85.32,938.54,229.12,0.059
2024-01-04,North America,Blender,9,94.5,850.49,150.65,0.111
2024-01-04,Europe,Headphones,10,48.11,481.07,141.92,0.103
2024-01-04,Europe,Smartwatch,19,148.41,2819.77,336.56,0.106
2024-01-04,APAC,Smartwatch,25,22.87,571.67,363.46,0.085
2024-01-04,APAC,Blender,52,11.47,596.32,141.53,0.12
2024-01-04,APAC,Camera,12,98.14,1177.64,134.71,0.124
2024-01-04,APAC,Laptop,27,89.11,2405.9,156.34,0.088
2024-01-04,LATAM,Camera,44,105.17,4627.37,92.73,0.041
2024-01-04,LATAM,Laptop,39,100.48,3918.55,158.67,0.12
2024-01-05,North America,Shoes,7,14.94,104.57,313.73,0.097
2024-01-05,North America,Book,53,93.76,4969.1,167.96,0.148
2024-01-05,North America,Smartwatch,27,145.86,3938.33,182.22,0.05
2024-01-05,Europe,Shoes,17,100.16,1702.69,165.17,0.037
2024-01-05,Europe,Smartwatch,8,69.22,553.72,271.39,0.138
2024-01-05,APAC,Shoes,16,67.91,1086.57,375.89,0.065
2024-01-05,APAC,Laptop,39,140.33,5473.01,175.38,0.118
2024-01-05,APAC,Camera,45,133.45,6005.42,145.29,0.063
2024-01-05,APAC,Smartwatch,15,148.69,2230.39,292.2,0.054
2024-01-05,LATAM,Smartwatch,53,116.83,6191.99,378.35,0.086
2024-01-05,LATAM,Camera,25,43.11,1077.71,54.3,0.038
2024-01-06,North America,Smartwatch,50,131.85,6592.63,312.61,0.043
2024-01-06,North America,Laptop,16,110.47,1767.51,84.23,0.066
2024-01-06,North America,Blender,7,57.56,402.93,212.58,0.05
2024-01-06,North America,Camera,13,103.04,1339.56,180.97,0.123
2024-01-06,Europe,Headphones,49,25.87,1267.41,275.82,0.052
2024-01-06,Europe,Camera,5,17.27,86.37,339.43,0.031
2024-01-06,APAC,Smartwatch,26,15.76,409.87,310.29,0.11
2024-01-06,APAC,Laptop,9,127.43,1146.88,369.87,0.049
2024-01-06,APAC,Shoes,15,132.16,1982.35,228.69,0.086
2024-01-06,LATAM,Blender,7,126.61,886.28,133.24,0.127
2024-01-06,LATAM,Shoes,33,57.02,1881.73,330.21,0.03
2024-01-07,North America,Laptop,5,30.61,153.06,238.79,0.078
2024-01-07,North America,Smartwatch,52,127.92,6651.91,303.76,0.039
2024-01-07,Europe,Headphones,57,65.77,3749.05,51.78,0.087
2024-01-07,Europe,Laptop,35,49.38,1728.34,214.81,0.146
2024-01-07,Europe,Smartwatch,43,144.67,6220.86,379.17,0.042
2024-01-07,Europe,Book,7,148.59,1040.12,269.05,0.09
2024-01-07,APAC,Laptop,8,85.87,687.0,134.58,0.082
2024-01-07,APAC,Camera,5,13.19,65.96,153.66,0.034
2024-01-07,APAC,Smartwatch,41,62.67,2569.66,393.42,0.043
2024-01-07,LATAM,Smartwatch,11,89.74,987.12,330.84,0.144
2024-01-07,LATAM,Book,32,122.78,3928.86,308.75,0.138
2024-01-08,North America,Laptop,49,138.99,6810.66,370.32,0.143
2024-01-08,North America,Book,54,41.52,2242.24,91.12,0.114
2024-01-08,North America,Blender,39,47.97,1870.82,162.23,0.085
2024-01-08,North America,Headphones,27,40.92,1104.88,313.36,0.056
2024-01-08,Europe,Blender,5,62.07,310.36,125.86,0.098
2024-01-08,Europe,Smartwatch,35,45.38,1588.17,289.63,0.034
2024-01-08,APAC,Headphones,11,58.25,640.77,121.4,0.133
2024-01-08,APAC,Smartwatch,9,104.48,940.29,143.38,0.14
2024-01-08,APAC,Book,5,83.68,418.38,178.57,0.089
2024-01-08,APAC,Blender,20,131.44,2628.86,115.29,0.119
2024-01-08,LATAM,Smartwatch,50,30.74,1537.17,183.96,0.068
2024-01-08,LATAM,Blender,24,107.8,2587.12,77.78,0.05
